year,month,rain_mm
2019,8,336.5659487046511
2019,9,293.0194800115897
2019,10,185.63076135593695
2019,11,93.32129935146494
2019,12,5.4524814047997
2020,1,4.380121401457831
2020,2,6.063263212035058
2020,3,32.3462390475417
2020,4,127.08374358067032
2020,5,141.8768002513048
2020,6,186.1433183509279
2020,7,307.9412005739083
2020,8,253.87833852698478
2020,9,255.30961308394956
2020,10,146.19193018140209
2020,11,39.13034578515885
2020,12,12.523377199822981
2021,1,4.14712592925291
2021,2,13.196422297178025
2021,3,23.82229916052069
2021,4,43.440695229727815
2021,5,140.40892001617465
2021,6,201.73544196804653
2021,7,229.5297369485591
2021,8,310.53749140045767
2021,9,237.80934863135172
2021,10,208.79607015445006
2021,11,76.55670912779333
2021,12,9.224859096505268
2022,1,3.3930087416402754
2022,2,6.9828481913489
2022,3,19.832557141966923
2022,4,47.49784274602408
2022,5,118.90870325721637
2022,6,236.5938861263406
2022,7,193.01981739000524
2022,8,324.25799566898087
2022,9,230.9750578142974
2022,10,147.34637652425934
2022,11,48.90594665416197
2022,12,11.378878962609075
2023,1,3.7698946767772523
2023,2,5.407025003916236
2023,3,19.33752042842829
2023,4,42.72356996476712
2023,5,156.3846464087638
2023,6,263.45140612758036
2023,7,388.5838089624379
2023,8,345.4515577350025
2023,9,209.42206695350225
2023,10,218.50599242100233
2023,11,91.29388015203247
2023,12,15.497176187715718
2024,1,3.5181086931404786
2024,2,6.719438911383656
2024,3,12.942185096698546
2024,4,30.00193222126033
2024,5,106.7024775910948
2024,6,179.41047233001996
2024,7,299.1100533333579
2024,8,356.6618505670426
2024,9,248.41536718203795
2024,10,177.31082885694553
2024,11,34.194250546186446
2024,12,6.612179564449715
