Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2001","2001","kg/ha","9629.6","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2001","2001","t","13000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2002","2002","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2002","2002","kg/ha","9333.3","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2002","2002","t","14000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2003","2003","ha","1500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2003","2003","kg/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2003","2003","t","15000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2004","2004","ha","1800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2004","2004","kg/ha","9888.9","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2004","2004","t","17800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2005","2005","ha","2000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2005","2005","kg/ha","9500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2005","2005","t","19000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2006","2006","ha","1850","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2006","2006","kg/ha","9729.7","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2006","2006","t","18000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2007","2007","ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2007","2007","kg/ha","9200","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2007","2007","t","23000","E","Estimated value",""
